SA1 (UR),"Oceania and Antarctica, nfd",New Zealand,Melanesia,Micronesia,Polynesia (excludes Hawaii),Antarctica,"North-West Europe, nfd","United Kingdom, Channel Islands and Isle of Man",Ireland,Western Europe,Northern Europe,"Southern and Eastern Europe, nfd",Southern Europe,South Eastern Europe,Eastern Europe,"North Africa and the Middle East, nfd",North Africa,Middle East,"South-East Asia, nfd",Mainland South-East Asia,Maritime South-East Asia,"North-East Asia, nfd",Chinese Asia (includes Mongolia),Japan and the Koreas,"Southern and Central Asia, nfd",Southern Asia,Central Asia,"Americas, nfd",Northern America,South America,Central America,Caribbean,"Sub-Saharan Africa, nfd",Central and West Africa,Southern and East Africa,Supplementary codes,Not stated,Total
20604150518,0,35,0,0,4,0,0,31,0,16,0,0,15,0,13,0,0,34,0,110,226,0,204,54,0,208,0,0,18,65,9,0,0,0,16,3,52,1129
20604150519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,5,0,11,0,0,0,3,0,0,0,0,0,0,0,29
20604150520,0,12,0,0,0,0,0,11,0,5,0,0,0,0,0,0,3,3,0,22,34,0,39,14,0,58,0,0,8,13,0,0,0,0,0,0,7,227
20604150521,0,4,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,7,22,0,6,6,0,18,0,0,4,7,0,0,0,0,0,0,14,91
20604150522,0,8,0,0,0,0,0,16,0,4,0,0,3,0,0,0,0,6,0,32,61,0,64,26,0,72,0,0,8,29,4,0,0,0,5,0,56,406
20604150523,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,12,0,10,4,0,4,0,0,0,6,0,0,0,0,6,0,27,76
20604150524,0,6,0,0,0,0,0,18,4,3,0,0,6,6,0,0,0,3,0,74,129,0,90,29,0,43,0,0,4,23,0,0,0,0,4,0,18,464
20604150525,0,7,0,0,5,0,0,10,0,3,0,0,4,4,5,0,0,14,0,33,63,0,112,31,0,116,0,0,3,11,0,0,0,0,6,0,48,482
20604150526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,28
20604150527,0,18,0,0,3,0,0,13,0,4,0,0,0,4,4,0,0,18,0,67,95,0,147,46,0,202,0,0,4,14,0,0,0,0,10,0,25,684
20604150528,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16
20604150529,0,10,0,0,0,0,0,16,0,9,0,0,3,5,0,0,3,12,0,68,111,0,305,35,0,35,0,0,17,9,0,0,0,6,8,0,196,853
20604150530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20604150531,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,8,19,0,28,12,0,23,0,0,3,4,0,0,0,0,0,0,13,131
20604150601,0,3,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,4,0,6,5,0,25,5,0,10,0,0,4,5,0,0,0,0,0,0,4,84
20604150602,0,11,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,0,0,16,7,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,7,69
20604150603,0,21,0,0,0,0,0,25,6,20,0,0,10,14,7,0,0,3,0,8,24,0,39,9,0,8,0,0,7,9,5,0,0,0,3,0,21,235
20604150604,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,15,16,0,31,0,0,13,0,0,0,8,0,0,0,0,3,0,17,128
20604150605,0,3,0,0,0,0,0,6,0,8,0,0,0,3,4,0,5,13,0,12,27,0,80,10,0,37,0,0,4,21,0,0,0,0,9,0,156,405
